Mstar	    logAge	    logMacc	    logMaccErr
1.931000	6.570000	-8.082000	0.225000
1.802000	6.690000	-8.268000	0.457000
1.612000	6.860000	-8.097000	0.161000
1.616000	6.900000	-8.036000	0.174000
0.759000	5.990000	-8.195000	0.285000
1.304000	7.210000	-8.231000	0.184000
0.567000	5.420000	-7.804000	0.148000
0.619000	5.820000	-7.711000	0.208000
0.403000	5.010000	-7.155000	0.144000
0.490000	5.770000	-7.852000	0.122000
0.494000	5.680000	-7.822000	0.233000
0.743000	6.330000	-8.996000	0.249000
1.821000	6.690000	-8.243000	0.410000
0.565000	5.410000	-8.190000	0.213000
1.565000	5.700000	-7.807000	0.398000
0.582000	5.060000	-7.714000	0.157000
0.978000	5.680000	-8.175000	0.358000
0.558000	5.550000	-8.034000	0.157000
0.420000	5.700000	-8.485000	0.154000
1.265000	6.310000	-8.375000	0.377000
0.431000	5.990000	-8.149000	0.159000
1.900000	6.550000	-7.764000	0.222000
1.490000	6.030000	-8.217000	0.252000
1.127000	5.890000	-7.542000	0.296000
1.375000	6.400000	-8.440000	0.094000
1.191000	7.260000	-8.112000	0.128000
1.782000	6.710000	-8.166000	0.058000
0.587000	5.410000	-8.144000	0.177000
0.891000	5.560000	-7.676000	0.126000
0.959000	6.150000	-9.136000	0.837000
0.556000	5.900000	-8.663000	0.377000
1.655000	6.660000	-8.315000	0.251000
0.944000	6.330000	-8.786000	0.114000
0.898000	5.730000	-8.225000	0.400000
1.147000	7.300000	-8.455000	0.214000
1.519000	5.480000	-7.160000	0.165000
1.592000	6.780000	-7.785000	0.023000
0.392000	5.730000	-8.664000	0.084000
1.642000	6.790000	-8.720000	0.317000
1.831000	6.560000	-8.420000	0.232000
0.692000	6.100000	-8.566000	0.106000
1.495000	6.830000	-8.333000	0.112000
1.609000	7.000000	-7.569000	0.164000
0.553000	5.750000	-7.803000	0.016000
0.584000	5.590000	-7.829000	0.242000
1.143000	6.320000	-8.216000	0.167000
1.413000	5.760000	-7.711000	0.207000
0.593000	5.660000	-8.684000	0.250000
1.025000	6.440000	-8.616000	0.113000
1.548000	6.780000	-8.217000	0.271000
1.139000	7.270000	-8.349000	0.155000
1.049000	7.320000	-8.561000	0.033000
0.745000	6.240000	-8.533000	0.079000
0.891000	6.550000	-8.887000	0.350000
0.936000	5.540000	-7.263000	0.176000
1.382000	7.080000	-7.426000	0.082000
1.469000	6.800000	-8.260000	0.270000
1.274000	7.130000	-7.782000	0.292000
1.057000	6.630000	-8.820000	0.050000
1.666000	6.760000	-7.790000	0.110000
1.216000	6.850000	-8.483000	0.597000
1.001000	7.390000	-8.654000	0.327000
1.392000	5.870000	-6.820000	0.161000
0.895000	5.690000	-7.339000	0.114000
1.176000	7.330000	-7.733000	0.352000
0.830000	7.600000	-8.669000	0.239000
1.135000	6.270000	-8.079000	0.394000
0.739000	7.730000	-9.405000	0.155000
1.151000	7.230000	-7.612000	0.149000
1.008000	6.990000	-8.420000	0.113000
1.701000	6.930000	-6.669000	0.238000
1.764000	6.860000	-6.973000	0.198000
0.919000	6.680000	-8.475000	0.196000
0.668000	6.080000	-8.794000	0.379000
1.488000	6.810000	-8.406000	0.305000
0.845000	6.020000	-8.277000	0.213000
0.362000	5.010000	-7.600000	0.107000
1.402000	6.970000	-7.784000	0.263000
0.954000	6.130000	-7.906000	0.244000
0.963000	6.280000	-8.873000	0.251000
0.497000	6.290000	-8.421000	0.153000
1.542000	7.180000	-7.714000	0.365000
1.153000	7.090000	-8.517000	0.304000
0.408000	5.910000	-7.828000	0.019000
0.707000	6.270000	-8.452000	0.223000
0.770000	7.650000	-8.096000	0.233000
0.875000	7.650000	-8.067000	0.107000
0.827000	7.010000	-8.443000	0.031000
0.819000	6.070000	-8.710000	0.519000
1.686000	5.770000	-7.366000	0.333000
0.902000	5.360000	-6.558000	0.331000
0.914000	5.890000	-7.224000	0.041000
